Algorithm seed time result
rhea 0 2 78.24552702903748
rhea 7 2 201.15653824806213
rhea 3 2 143.94315767288208
mcts 2 3 216.99979257583618
rhea 7 3 356.56278252601624
mcts 4 3 426.88202953338623
rhea 5 3 393.81527495384216
mcts 5 3 100.02668571472168
mcts 3 3 222.540278673172
rhea 6 3 190.88155698776245
mcts 7 2 192.28319144248962
mcts 1 2 121.26100277900696
rhea 3 3 185.00626134872437
rhea 4 3 224.32782125473022
rhea 6 2 222.9993188381195
mcts 3 2 198.5292363166809
rhea 5 2 79.03685069084167
mcts 5 2 87.95181965827942
rhea 2 3 171.3341293334961
mcts 2 2 162.14450240135193
mcts 0 3 143.21917009353638
rhea 1 2 293.7001016139984
mcts 6 3 215.46573424339294
rhea 0 3 174.59770512580872
mcts 0 2 90.68599152565002
rhea 2 2 169.70045375823975
rhea 4 2 140.1480085849762
rhea 1 3 89.21488761901855
mcts 7 3 263.4940984249115
mcts 4 2 175.05518889427185
mcts 6 2 176.2350616455078
mcts 1 3 122.29200267791748
