algorithm seed time result
mcts 4 3 199.01632452011108
rhea 3 2 144.33642864227295
rhea 7 3 167.04261827468872
rhea 6 2 169.72219920158386
rhea 1 2 88.18783974647522
rhea 2 3 215.93305015563965
mcts 1 3 122.58940839767456
mcts 6 3 200.02316451072693
rhea 6 3 153.17196679115295
mcts 3 2 207.6429283618927
mcts 7 3 209.88828134536743
rhea 5 2 127.73756647109985
rhea 0 3 97.15113306045532
mcts 2 3 246.81134152412415
rhea 2 2 169.2834722995758
mcts 5 2 104.8151445388794
rhea 0 2 71.06045126914978
mcts 5 3 135.15901565551758
mcts 6 2 157.55320072174072
mcts 0 2 91.3420820236206
mcts 3 3 255.65385031700134
rhea 7 2 179.29082989692688
rhea 4 3 147.105872631073
rhea 3 3 216.67297768592834
mcts 0 3 112.82006239891052
rhea 5 3 89.59500622749329
rhea 4 2 136.699609041214
mcts 4 2 184.7419776916504
mcts 1 2 96.84806847572327
mcts 2 2 177.95478987693787
rhea 1 3 85.22671413421631
mcts 7 2 237.01580500602722
